,target,ids
0,인종/국가,1267725763165540354
1,인종/국가,1267723989364772864
2,인종/국가,1267525393591832576
3,성별,1368719216451362818
4,성별,1421338752383811593
5,인종/국가,1267147540845047808
6,인종/국가,1266954707466981376
7,인종/국가,1267381787128295425
8,성별,1368805884705468418
9,인종/국가,1291951973214773248
10,성별,1421399066596888579
11,성별,1368581597939691520
12,인종/국가,1291694466110111746
13,성정체성/성적지향,1367100656910168066
14,인종/국가,1267527637041205249
15,성별,1368586528872566784
16,성별,1421347959103389700
17,인종/국가,1267794561016856576
18,성별,1368719160222445574
19,인종/국가,1268090307406528514
20,성별,1421354948537700352
21,성별,1368833757524885514
22,성별,1421313357345300491
23,인종/국가,1265926747507195906
24,인종/국가,1268493211795779584
25,인종/국가,1267684586634358784
26,인종/국가,1267538696812679169
27,성별,1368873375293042688
28,인종/국가,1271745321631006721
29,인종/국가,1267529386317631488
30,성별,1421353423635574787
31,성별,1368816519476482050
32,인종/국가,1267304779014967298
33,인종/국가,1267694229813223425
34,성별,1368790231281930240
35,인종/국가,1266202251191816198
36,성별,1421336425463631879
37,인종/국가,1268426632861085696
38,성별,1368763550714396684
39,성별,1368577427606179843
40,성별,1367692868068896768
41,인종/국가,1267588302778937344
42,인종/국가,1268436846280798208
43,성별,1421346474760179714
44,인종/국가,1267590012180152322
45,인종/국가,1267821333062184962
46,성별,1368731711828193282
47,성별,1368838346177384451
48,인종/국가,1381382459246268416
49,성정체성/성적지향,1367089359778811904
50,성별,1368714397913260035
51,성별,1368805888148996100
52,인종/국가,1267591004242116608
53,성별,1368595973497188353
54,성별,1368848969288228868
55,성정체성/성적지향,1367312589777108996
56,인종/국가,1372999422779351044
57,성별,1368783285657104385
58,인종/국가,1267522725343571969
59,성정체성/성적지향,1367090333075468289
60,성별,1368819840937422848
61,성정체성/성적지향,1367082047018180610
62,인종/국가,1381384001739399168
63,성정체성/성적지향,1367103983165214721
64,성별,1368876218494291968
65,성별,1368750460568408065
66,성별,1421397225012293632
67,인종/국가,1405207499993751552
68,인종/국가,1267372897913327616
69,인종/국가,1381415482901729280
70,성별,1368795243257032706
71,성별,1368935807172501508
72,성별,1368729892527906820
73,인종/국가,1267406476210892801
74,인종/국가,1267397899039543296
75,인종/국가,1266096381455929344
76,인종/국가,1267865338034577408
77,성정체성/성적지향,1376934409249587202
78,인종/국가,1267691295750762498
79,성정체성/성적지향,1367156077540769792
80,성정체성/성적지향,1377183927505313796
81,성별,1368888636905680902
82,성별,1368743737510141954
83,인종/국가,1381383203152273408
84,인종/국가,1266009901077155840
85,인종/국가,1267702973645250560
86,성별,1368799929867456518
87,인종/국가,1267606004868411394
88,성별,1368821671402954752
89,인종/국가,1268428351342956544
90,성정체성/성적지향,1367137741905879041
91,성별,1368581673462370313
92,인종/국가,1291942968719339520
93,인종/국가,1269534206046027777
94,인종/국가,1267303391715303426
95,인종/국가,1291691436119744512
96,성별,1368763723343536129
97,성별,1368822167945711621
98,인종/국가,1291692055488393221
99,인종/국가,1268425658289451008
100,성별,1368785959324553216
101,성별,1368840031457193984
102,성별,1368792090818211840
103,인종/국가,1272436904705683456
104,성정체성/성적지향,1376921011044581376
105,성별,1421396802029309952
106,인종/국가,1267535617295937536
107,성별,1368585236607508482
108,성별,1368752647096868868
109,성별,1421314271170887687
110,인종/국가,1268423554359390208
111,성정체성/성적지향,1367168918767345665
112,성정체성/성적지향,1367082374261993472
113,성별,1421383885619748875
114,성별,1368823414744510468
115,성정체성/성적지향,1367209131627532288
116,성별,1421346691538554882
117,인종/국가,1267326572563820544
118,성별,1421337670421159941
119,성별,1421314782418804737
120,인종/국가,1291915922886688768
121,성별,1368718090339373057
122,성별,1421317224627806208
123,성별,1421331719039328256
124,성별,1421486221801365509
125,성별,1368843179441541124
126,인종/국가,1268433390887305216
127,인종/국가,1372335175036588034
128,인종/국가,1267531114429595648
129,인종/국가,1292317950439874563
130,성별,1368860391858610178
131,성별,1368588889728774144
132,성별,1421356427726057478
